,Man5,AA,AGn,GnGn,MGn,NaA,NaGn,NaNa,AAF,AGnF,AMF,GnGnF,MGnF,NaAF,NaGnF,NaNaF,Peptide
REF,0.034,0.12,0,0,0,0.218,0.015,0.05,0.169,0,0,0.01,0,0.284,0,0.079,0.021
1-2D6,0.017,0.105,0,0,0,0.231,0.013,0.063,0.133,0.016,0,0,0,0.283,0,0.106,0.032
F-1B5,0.046,0.127,0,0,0,0.251,0.016,0.069,0.136,0,0,0,0,0.232,0,0.087,0.035
B-1C3,0.016,0.019,0.056,0.187,0.045,0,0.063,0,0.013,0.097,0.011,0.301,0.067,0.026,0.072,0,0.027
B-2D8,0,0.013,0.055,0.19,0.047,0,0.074,0,0.013,0.097,0.015,0.295,0.061,0.03,0.082,0,0.029
B-2F5,0.014,0.013,0.058,0.202,0.041,0,0.069,0,0,0.103,0.015,0.291,0.059,0.028,0.077,0,0.028
2-1E3,0.036,0,0,0.289,0.101,0,0.021,0,0,0.016,0,0.371,0.103,0,0.031,0,0.031
2-2D1,0.018,0,0,0.278,0.065,0,0.021,0,0,0.018,0,0.455,0.084,0,0.034,0,0.026
2-2F2,0.022,0,0,0.3,0.086,0,0.021,0,0,0.016,0,0.399,0.094,0,0.033,0,0.028
D-2A1,0.037,0,0.014,0.339,0.101,0,0,0,0,0,0,0.411,0.068,0,0,0,0.031
F-2B6,0.018,0,0.019,0.325,0.097,0,0,0,0,0,0,0.376,0.12,0,0,0,0.045
F-2F2,0.018,0,0,0.336,0.094,0,0,0,0,0,0,0.405,0.103,0,0,0,0.044
