,G0-GnGn,G0F-GnGnF,G1F-AGnF,G2-AA,G2F-AAF,Man5
Control-168Exp,0.064129641,0.524051425,0.346344857,0.004505264,0.046663351,0.018810726
Control-216Exp,0.060006061,0.515046527,0.363193137,0.004505264,0.050148329,0.007100683
Control-264Exp,0.057963183,0.520968923,0.340245869,0.00285,0.04065236,0.034616107
Control-288Exp,0.060578699,0.536518635,0.342065591,0.004378582,0.047542788,0.008915705
10G-168Exp,0.04801502,0.4891363,0.3982028,0.004378582,0.05807403,0.00657189
10G-216Exp,0.056749127,0.484554236,0.380502521,0.004378582,0.034639551,0.043554566
10G-264Exp,0.05056766,0.475295968,0.39632325,0.00486606,0.065576103,0.007370959
10G5U-168Exp,0.0521049,0.447665056,0.415573959,0.007361399,0.072348746,0.00494594
10G5U-216Exp,0.049748503,0.418781566,0.418381974,0.008429525,0.078123761,0.0264
10G5U-264Exp,0.051655478,0.46057572,0.407668677,0.007509387,0.069063602,0.003527136
10G5U-288Exp,0.047616816,0.397471592,0.438894841,0.00345,0.089123178,0.021875569
10G20U-168Exp,0.03729378,0.473100902,0.391301779,0.00486606,0.072536927,0.044413505
50G5U-168Exp,0.041926173,0.418039198,0.418565498,0.008383955,0.079412147,0.029021069
50G5U-216Exp,0.03140784,0.443201672,0.41475993,0.00375555,0.074366598,0.03011102
50G5U-264Exp,0.036667007,0.41417279,0.417065795,0.006653057,0.083883881,0.0345
