EN/RR/PLS,EN/RR/PLS (Nested),Our ANN,Our ANN (Nested)
35.87,55.34,29.93,0.24
16.91,44.46,2.77,20.41
26.93,48.01,10.07,12.18
35.17,26.39,23.9,23.9
29.64,19.51,7.13,9.38
33.56,23.09,10.2,3.36
52.87,46.17,21.59,23.6
89.2,89.2,26.14,12.5
42.61,42.61,31.52,10.33
40.48,39.58,12.22,29.06
57.73,49.92,17.3,27.64
52.22,52.67,13.33,13.33
12.01,12.01,1.53,0.22
3.94,3.6,3.44,3.1
8.54,8.59,8.08,1.52
36.41,36.41,19.87,25.46
33.1,33.1,28.61,14.63
42.36,42.73,10.34,6.68
26.17,17.9,8.45,7.86
25.94,25.56,21.43,9.02
10.99,11.37,7.37,5.21
12.64,4.76,17.46,9.52
1.11,9.7,5.54,6.37
17.38,17.38,3.7,22.79
10.02,11.41,6.4,1.93
11.35,10.23,4.65,7.91
2.19,10.09,7.59,0.45
3.03,3.03,1.92,0.37
4.46,3.24,6.12,1.92
9.51,21.02,9.75,6.57
2.97,2.49,1.3,1.3
7.07,7.07,5.51,8.1
